config_id,activation,layers,hidden,lr,batch,parameters,val_loss_mean,val_loss_std,val_loss_min,val_loss_max,test_mse,test_mae,test_rmse,best_seed
180,tanh,4,5,0.001,128,128,0.006519007568971978,0.0006537682495708224,0.0058342596205572285,0.007399396014710268,0.008636700920760632,0.054294902831315994,0.09293385595083237,1
181,tanh,4,6,0.01,64,171,0.006578345833139287,0.00041025349894980765,0.006271918433407943,0.007158219334979852,0.006392220035195351,0.058944221585989,0.07995136082172394,1
182,tanh,4,6,0.01,128,171,0.006148926757689979,0.00043182346751616994,0.005551015713562568,0.0065555114957193536,0.005014845635741949,0.0522661954164505,0.07081557810306549,0
183,tanh,4,6,0.001,64,171,0.004583694964026411,0.0005485150636170037,0.003934094815825423,0.005275670606642961,0.0032009028363972902,0.03704877197742462,0.05657652020454407,1
184,tanh,4,6,0.001,128,171,0.004847124558563034,0.00024357608429183638,0.004522569602355361,0.005109362146506707,0.004145793616771698,0.04209402948617935,0.06438783556222916,1
185,tanh,4,7,0.01,64,220,0.006176051041318311,0.00042092121510190346,0.005789613340049982,0.006761394146829844,0.006399783305823803,0.05785248428583145,0.07999864220619202,2
186,tanh,4,7,0.01,128,220,0.006011966663102309,0.0010085799350236702,0.004845761814465125,0.007306282779822747,0.0041659241542220116,0.046972502022981644,0.06454396992921829,2
187,tanh,4,7,0.001,64,220,0.004068778188278278,0.0002186010741754951,0.0038624914685885113,0.0043713306412100795,0.002947396133095026,0.03616856783628464,0.05428992584347725,2
188,tanh,4,7,0.001,128,220,0.0037318722843709923,0.0003595541604258517,0.0033436329669008654,0.004210371031115452,0.0026226292829960585,0.032286904752254486,0.05121161416172981,2
189,tanh,4,8,0.01,64,275,0.00617248884961009,8.620406929302493e-05,0.006098434589803219,0.00629338306064407,0.005784915294498205,0.05699842795729637,0.07605863362550735,1
190,tanh,4,8,0.01,128,275,0.005854548607435492,0.00025261231125749345,0.005513980398575465,0.006118264189610878,0.0049156020395457745,0.05224396288394928,0.07011135667562485,2
191,tanh,4,8,0.001,64,275,0.0034712223044286172,0.00023164336298786968,0.0031742501873523,0.0037394733106096588,0.0021621810737997293,0.029216567054390907,0.046499259769916534,1
192,tanh,4,8,0.001,128,275,0.0035265756564007863,0.0003757488558796679,0.003012960596010089,0.003901410646736622,0.0022092994768172503,0.029291093349456787,0.047003187239170074,2
193,tanh,5,3,0.01,64,72,0.015890160472028788,0.0006681620665993261,0.014948831873635451,0.016432142183184624,0.048990923911333084,0.1439329981803894,0.2213389277458191,2
194,tanh,5,3,0.01,128,72,0.01552338211900658,0.0004776288655081745,0.014848637262980142,0.015887838383515675,0.04678571596741676,0.14001306891441345,0.21630005538463593,2
195,tanh,5,3,0.001,64,72,0.015261170935299662,0.0002962556819444387,0.01484538219620784,0.015513685221473375,0.04889391362667084,0.13766878843307495,0.221119686961174,2
196,tanh,5,3,0.001,128,72,0.014982358348866303,0.000798770297730429,0.01385993895183007,0.01565394017100334,0.04479299485683441,0.13009972870349884,0.21164356172084808,2
197,tanh,5,4,0.01,64,111,0.011486921648184456,0.0022885186569102517,0.009207885332405567,0.014616533162693183,0.017816606909036636,0.09059380739927292,0.13347886502742767,1
198,tanh,5,4,0.01,128,111,0.013027925753759015,0.0005838880446609994,0.012423784911632537,0.013817487974961599,0.029904890805482864,0.10508798807859421,0.1729303002357483,1
199,tanh,5,4,0.001,64,111,0.012288216350807084,0.0006118274451646626,0.011428921990096569,0.01280566521237294,0.03269558399915695,0.10200316458940506,0.18081919848918915,2
200,tanh,5,4,0.001,128,111,0.010380917868680424,0.0014995895923977846,0.008261580280959606,0.011507366602619489,0.015388344414532185,0.07515295594930649,0.12404976785182953,1
201,tanh,5,5,0.01,64,158,0.007277606429739131,0.00027355665716566026,0.006938137983282407,0.007608029007911682,0.00855864305049181,0.06743478775024414,0.09251293540000916,1
202,tanh,5,5,0.01,128,158,0.007069070561892456,0.0002474010531734026,0.006845715265721083,0.007413976060847442,0.011248482391238213,0.06629519164562225,0.10605886578559875,2
203,tanh,5,5,0.001,64,158,0.005393138065934181,0.0005257541556745381,0.004650979104141395,0.005803284219155709,0.003739110426977277,0.04382987692952156,0.0611482672393322,1
204,tanh,5,5,0.001,128,158,0.005682694140407774,0.00031530108246338837,0.005301495316127936,0.006073637634515763,0.00839841179549694,0.05025951564311981,0.0916428491473198,2
205,tanh,5,6,0.01,64,213,0.006756331051803298,0.000831157363558479,0.005586550888915857,0.007440943860759338,0.005155552178621292,0.05383637174963951,0.07180217653512955,1
206,tanh,5,6,0.01,128,213,0.0061791614761783015,0.0006238307358983726,0.00529877424115936,0.006668710112571716,0.005326044280081987,0.052097219973802567,0.07297975569963455,2
207,tanh,5,6,0.001,64,213,0.004888855962703625,5.432960769305818e-05,0.004838579528033733,0.004964310872058074,0.0045564803294837475,0.044203851372003555,0.06750170886516571,0
208,tanh,5,6,0.001,128,213,0.004927621786793073,0.0003165225534978105,0.004569495124121507,0.005339255022505919,0.0048014079220592976,0.042403966188430786,0.06929219514131546,2
209,tanh,5,7,0.01,64,276,0.007186222678257359,0.0007861363678948613,0.006508872756113609,0.008288385291894277,0.007137621752917767,0.06410582363605499,0.08448445051908493,1
